薬価基準収載医薬品コード,品名,成分名,規格,メーカー名,薬価,後発医薬品最高価格,長期収載品と後発医薬品の価格差の２分の１,保険外併用療養費の算出に用いる価格,
1124001F2029,ユーロジン２ｍｇ錠,エスタゾラム,２ｍｇ１錠,Ｔ’ｓ製薬,7.40,6.30,0.55,6.85,
1124003F2222,ベンザリン錠５,ニトラゼパム,５ｍｇ１錠,共和薬品工業,7.20,6.30,0.45,6.75,
1124003F3121,ベンザリン錠１０,ニトラゼパム,１０ｍｇ１錠,共和薬品工業,11.70,6.30,2.70,9.00,
1124007F1020,ハルシオン０．１２５ｍｇ錠,トリアゾラム,０．１２５ｍｇ１錠,ファイザー,6.30,6.10,0.10,6.20,
1124007F2026,ハルシオン０．２５ｍｇ錠,トリアゾラム,０．２５ｍｇ１錠,ファイザー,6.40,6.30,0.05,6.35,
1124008F1024,サイレース錠１ｍｇ,フルニトラゼパム,１ｍｇ１錠,エーザイ,6.40,6.10,0.15,6.25,
1124008F2020,サイレース錠２ｍｇ,フルニトラゼパム,２ｍｇ１錠,エーザイ,7.40,6.30,0.55,6.85,
1124017F2135,２ｍｇセルシン錠,ジアゼパム,２ｍｇ１錠,Ｔ’ｓ製薬,6.40,6.10,0.15,6.25,
1124017F2151,ホリゾン錠２ｍｇ,ジアゼパム,２ｍｇ１錠,丸石製薬,6.40,6.10,0.15,6.25,
1124017F4049,５ｍｇセルシン錠,ジアゼパム,５ｍｇ１錠,Ｔ’ｓ製薬,10.00,6.20,1.90,8.10,
1124017F4162,ホリゾン錠５ｍｇ,ジアゼパム,５ｍｇ１錠,丸石製薬,10.00,6.20,1.90,8.10,
1124017F5037,１０ｍｇセルシン錠,ジアゼパム,１０ｍｇ１錠,Ｔ’ｓ製薬,10.80,6.10,2.35,8.45,
1124026F1022,グランダキシン錠５０,トフィソパム,５０ｍｇ１錠,持田製薬,6.90,6.30,0.30,6.60,
1124029F2022,メイラックス錠２ｍｇ,ロフラゼプ酸エチル,２ｍｇ１錠,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,12.70,10.80,0.95,11.75,
1124030F1029,ドラール錠１５,クアゼパム,１５ｍｇ１錠,久光製薬,30.90,20.60,5.15,25.75,
1124030F2025,ドラール錠２０,クアゼパム,２０ｍｇ１錠,久光製薬,40.10,26.70,6.70,33.40,
1129007F1026,アモバン錠７．５,ゾピクロン,７．５ｍｇ１錠,サノフィ,10.90,10.80,0.05,10.85,
1129007F2022,アモバン錠１０,ゾピクロン,１０ｍｇ１錠,サノフィ,11.50,10.80,0.35,11.15,
1129008F1039,セディール錠５ｍｇ,タンドスピロンクエン酸塩,５ｍｇ１錠,住友ファーマ,7.40,6.30,0.55,6.85,
1129008F2035,セディール錠１０ｍｇ,タンドスピロンクエン酸塩,１０ｍｇ１錠,住友ファーマ,12.20,8.40,1.90,10.30,
1129008F3023,セディール錠２０ｍｇ,タンドスピロンクエン酸塩,２０ｍｇ１錠,住友ファーマ,21.30,16.50,2.40,18.90,
1129009F1025,マイスリー錠５ｍｇ,ゾルピデム酒石酸塩,５ｍｇ１錠,アステラス製薬,13.80,10.80,1.50,12.30,
1129009F2021,マイスリー錠１０ｍｇ,ゾルピデム酒石酸塩,１０ｍｇ１錠,アステラス製薬,21.50,14.10,3.70,17.80,
1129010F1028,ルネスタ錠１ｍｇ,エスゾピクロン,１ｍｇ１錠,エーザイ,24.20,9.10,7.55,16.65,
1129010F2024,ルネスタ錠２ｍｇ,エスゾピクロン,２ｍｇ１錠,エーザイ,40.30,15.30,12.50,27.80,
1129010F3020,ルネスタ錠３ｍｇ,エスゾピクロン,３ｍｇ１錠,エーザイ,45.60,19.40,13.10,32.50,
1139005B1048,エクセグラン散２０％,ゾニサミド,２０％１ｇ,住友ファーマ,25.20,23.80,0.70,24.50,
1139005F1023,エクセグラン錠１００ｍｇ,ゾニサミド,１００ｍｇ１錠,住友ファーマ,12.60,10.80,0.90,11.70,
1139008F1027,トピナ錠５０ｍｇ,トピラマート,５０ｍｇ１錠,協和キリン,36.10,18.40,8.85,27.25,
1139008F2023,トピナ錠１００ｍｇ,トピラマート,１００ｍｇ１錠,協和キリン,59.90,25.60,17.15,42.75,
1139008F3020,トピナ錠２５ｍｇ,トピラマート,２５ｍｇ１錠,協和キリン,16.50,8.60,3.95,12.55,
1139010F1024,イーケプラ錠２５０ｍｇ,レベチラセタム,２５０ｍｇ１錠,ユーシービージャパン,61.20,24.70,18.25,42.95,
1139010F2020,イーケプラ錠５００ｍｇ,レベチラセタム,５００ｍｇ１錠,ユーシービージャパン,100.30,43.60,28.35,71.95,
1139010R1020,イーケプラドライシロップ５０％,レベチラセタム,５０％１ｇ,ユーシービージャパン,119.60,60.90,29.35,90.25,
1147002F1560,ボルタレン錠２５ｍｇ,ジクロフェナクナトリウム,２５ｍｇ１錠,ノバルティス　ファーマ,6.50,6.10,0.20,6.30,
1149019F1560,ロキソニン錠６０ｍｇ,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,第一三共,10.80,10.50,0.15,10.65,
1149029F1025,ソレトン錠８０,ザルトプロフェン,８０ｍｇ１錠,日本ケミファ,14.00,10.80,1.60,12.40,
1149032F1027,ハイペン錠１００ｍｇ,エトドラク,１００ｍｇ１錠,日本新薬,6.80,6.30,0.25,6.55,
1149035F1020,モービック錠５ｍｇ,メロキシカム,５ｍｇ１錠,日本ベーリンガーインゲルハイム,10.50,9.50,0.50,10.00,
1149035F2027,モービック錠１０ｍｇ,メロキシカム,１０ｍｇ１錠,日本ベーリンガーインゲルハイム,19.00,14.40,2.30,16.70,
1149037F1020,セレコックス錠１００ｍｇ,セレコキシブ,１００ｍｇ１錠,ヴィアトリス製薬,15.70,8.30,3.70,12.00,
1149037F2026,セレコックス錠２００ｍｇ,セレコキシブ,２００ｍｇ１錠,ヴィアトリス製薬,23.00,12.50,5.25,17.75,
1149038F1024,トラマールＯＤ錠２５ｍｇ,トラマドール塩酸塩,２５ｍｇ１錠,日本新薬,13.90,8.40,2.75,11.15,
1149038F2020,トラマールＯＤ錠５０ｍｇ,トラマドール塩酸塩,５０ｍｇ１錠,日本新薬,23.60,14.30,4.65,18.95,
1149117F1020,トラムセット配合錠,トラマドール塩酸塩・アセトアミノフェン,１錠,ヤンセンファーマ,21.40,14.30,3.55,17.85,
1161001F1050,シンメトレル錠５０ｍｇ,アマンタジン塩酸塩,５０ｍｇ１錠,サンファーマ,7.40,6.30,0.55,6.85,
1162001C1043,アキネトン細粒１％,ビペリデン塩酸塩,１％１ｇ,住友ファーマ,19.20,11.00,4.10,15.10,
1169008F1026,ペルマックス錠５０μｇ,ペルゴリドメシル酸塩,５０μｇ１錠,協和キリン,16.90,13.90,1.50,15.40,
1169008F2022,ペルマックス錠２５０μｇ,ペルゴリドメシル酸塩,２５０μｇ１錠,協和キリン,60.20,57.80,1.20,59.00,
